Name,Type,Rating,PreviewImageUrl,MainImageUrl,Description
Vranec,0,4.5,https://i.imgur.com/hpVM8m7.jpg,https://i.imgur.com/pmCg8M8.jpg,"Вранец e домороден вид на грозје кое се одгледува во Македонија$ Црна Гора$ Херцеговина и Србија.^split^Се смета за најзначаен вид во Црна Гора и еден од најзначајните во Македонија$ а го има доста и во Србија. Во Македонија вранецот е застапен со 50% во производството на црни вински грозја.^split^Лозата е умерено снажна и со обилен род$ отпорна на заболувања. Зрната се големи и со темна боја. Во Македонија се смета за најбитна сорта грозје и е застапена со речиси 70% од сите црвени сорти кои се одгледуваат. Зборот вранец значи црн пастув$ име кое го опишува ова грозје."
Kratosija,0,4.4,https://i.imgur.com/Z6WDOPy.jpg,https://i.imgur.com/DN3XB0Z.jpg,"Кратошија e регионален вид на грозје кое се одгледува во Македонија$ Црна Гора и Далмација.^split^После вранецот$ кратошијата е најзастапен вид на црно винско грозје во Македонија. Имплементацијата на лозови насади со овој вид грозје е поддржана со Нацрт стратегијата за лозарство и винарство (2010-2015).^split^Кратошијата е сорта на грозје која има долга историја во Македонија. Се верува дека на територијата на Република Македонија таа се одгледува уште од античко време$ кога виното се чувало во амфори и се транспортирало до благородниците. Сортата била доведена скоро до исчезнување$ но преживеала а винарите успеале од неа да направат вина со врвен квалитет."
Cabernet Sauvignon,0,4.8,https://i.imgur.com/MbUMoAt.png,https://i.imgur.com/70Gybhj.png,"Каберне Совињон е една од најпрепознатливите сорти на црвено винско грозје во светот. Се одгледува во речиси секоја главна земја за производство на вино меѓу разновиден спектар на клими од Австралија и Британска Колумбија$ Канада до долината Бекаа во Либан. Каберне Совињон стана меѓународно признат преку својата важност во вината од Бордо$ каде што често се меша со Мерло и Каберне Франк.^split^Од Франција и Шпанија$ грозјето се рашири низ Европа и во Новиот свет каде најде нови домови во места како што се долината Напа во Калифорнија$ заливот Хок во Нов Зеланд$ регионот Стеленбош во Јужна Африка$ австралиската река Маргарет$ регионите Мекларен Вејл и Кунавара и Чилеанскиот Маипо."
Merlot,0,3.9,https://i.imgur.com/mrQ137m.png,https://i.imgur.com/zhW8Mtl.png,"Мерлот е винска сорта на грозје со темно сина боја која се користи и за мешање на грозје и за сортни вина. Се смета дека името Мерлот е деминутив на мерле$ француското име за црната птица$ веројатно упатување на бојата на грозјето. Неговата мекост и „месест“$ во комбинација со неговото порано зреење$ го прават Мерлот популарно грозје за мешање со построгиот$ подоцна зрел Каберне Совињон$ кој има тенденција да има повисок танин.^split^Заедно со Каберне Совињон$ Каберне Франк$ Малбек и Пети Вердо$ Мерлот е едно од примарните грозје што се користи во виното Бордо и е најраспространето грозје во винските региони на Бордо. Мерлот е исто така една од најпопуларните сорти на црвено вино на многу пазари."
Roze,2,4.9,https://i.imgur.com/v8BHttq.jpg,https://i.imgur.com/Y6pjUqB.jpg,"Розе е розово вино$ кое по боја се наоѓа помеѓу црвеното и белото вино.^split^Розето е слабо танин вино$ произведено од црвени видови на грозје$ по технологијата за производство на бели вина. Бојата на виното е розова$ почнувајќи од бледо$ едвај забележливи нијанси на бои до интензивна темна боја$ блиску до светлоцрвената боја. Букетот и вкусот на розето се слични на белите вина$ додека боењето и густината се слични на црвените."
Smederevka,1,4.7,https://i.imgur.com/8dVgXPb.jpg,https://i.imgur.com/98VbPf0.jpg,"Смедеревка е домороден вид на бело грозје и белото вино произведено од истото.^split^Оваа врста на бело грозје е со изразито златножолта зеленкаста боја. Името го добила по градот Смедерево во Србија каде настанала како автохтона сорта во бреговитито подунавско виногорје.^split^Се смета дека одгледувањето на винова лоза на овој простор (а со тоа и на смедеревката) датира од времето на римскиот цар Проб.^split^Зрната се збиени и поситни$ а вкусот е малку киселикав$ така да оваа сорта грозје во најголема мера се користи за производство на бело вино."
Chardonnay,1,5.0,https://i.imgur.com/8FK8UbD.png,https://i.imgur.com/lwGAcRl.png,"Шардоне е бела сорта на грозје$ која е една од најпопуларните во светот. Подобро успева на посиромашна почва$ но се прилагодува и на други видови почва. Дава мали гроздови со тенка кожа. Рано цути и зрее. Води потекло од Бургундија во Франција$ а денес е застапено во целиот свет. Најдобро успева на красните подрачја. Вкусот на Шардонето потсетува на јаболко$ диња и ананас. Од типот на грозјето Шардоне се прават исклучително вкусни вина меѓу кои: Каберне Совињон и Совињон блан."
Temjanika,1,4.3,https://i.imgur.com/D0ydjGI.png,https://i.imgur.com/qGDH7tB.png,"Темјаника — стара питома сорта на винова лоза (грозје). Има посебен вкус и мирис (кој се чувствува на неколку метра оддалеченост кога е зрело)$ па оттука и името. Почнува да созрева во средината на септември$ а на зрелите зрна им пука кожата. Целиот вкус и мирис може да се почувствуваат само кога овошјето е целосно зрело и ќе ја достигне својата целосна сладина$ што е некаде во средината на октомври. Плодот е со темновиолетова боја$ зрната се речиси правилни топчиња со големина 10-15 мм$ а понекогаш и до 20 мм.^split^Од ова грозје се прави истоименото вино. Од плодот на темјаниката на пазарот најмногу се достапни бели вина$ но малку е познато дека има и црна темјаника."
Zilavka,1,4.2,https://i.imgur.com/cZQl3JG.png,https://i.imgur.com/UMEhxox.jpg,"Жилавка е бело вино од разновидно грозје$ засадено првенствено во регионот на Мостар$ Херцеговина$ во јужниот дел на Босна и Херцеговина. Како сортно вино$ Жилавка е позната по својата светла свежина и киселост. Идеална за комбинирани оброци$ често е старо како даб гроздобер$ кој претставува повеќе полно и земјени вино со јаткасти аспекти кои биле поприсутни во вината произведени во раните 2000-ти и порано.^split^Широко засадени низ цела поранешна Југославија$ Жилавката била само мало мешано грозје што се користело низ целата поранешна држава.^split^Производството е генерално фокусирано во областа јужно од Мостар околу селата Читлук$ Меѓугорје$ Љубушки и Чапљина со познати продуценти како Нуиќ$ Шекгро$ Бркиќ$ Винарија Читлук$ Задро и Витаи / Гангаш."
Grasevina,1,3.8,https://i.imgur.com/sJhZhM8.jpg,https://i.imgur.com/Exj3hXe.jpg,"Грашевина е бела винска сорта на грозје$ која не е поврзана со Рајнскиот Ризлинг$ која се одгледува низ цела Централна Европа.^split^Потеклото на Грашевина е неизвесно. Германското име Welschriesling буквално значи „романски ризлинг“ (сп. Walhaz)$ а повеќето од синонимите во Централна Европа се варијации на „италијански ризлинг“. Грашевина можеби бил донесен во Централна Европа од античките Римјани. Сепак$ хрватското име Грашевина сугерира дека потеклото можеби е некаде на исток од Балканот.^split^Една модерна теорија тврди дека Грашевина потекнува од регионот на Шампањ и дошол како велш (во овој случај француски) Ризлинг преку Хајделберг до земјите на Австро-унгарската монархија."
Champagne,3,4.6,https://i.imgur.com/nMBOTgl.jpg,https://i.imgur.com/4K3qUxJ.jpg,"Шампањско е пенливо вино$ кое со дополнително вриење во друго буре развива сопствен јаглерод диоксид. Името го добил според француската покраина Шампањ$ и денес името е резервирано единствено за пенливото вино произведено во таа покраина."
